name,long,lat,id,label
Dunkin Donuts Bridgeport CT 1... (sample),-73.193931,41.195873,1233,Dunkin Donuts Bridgeport CT 1... (sample)
Dunkin Donuts Bridgeport CT 1... (sample),-73.1683,41.222493,1234,Dunkin Donuts Bridgeport CT 1... (sample)
Dunkin Donuts Bridgeport CT ... (sample),-73.217806,41.221412,1235,Dunkin Donuts Bridgeport CT ... (sample)
Dunkin Donuts Bridgeport CT ... (sample),-73.213904,41.217057,1236,Dunkin Donuts Bridgeport CT ... (sample)
Dunkin Donuts Bridgeport CT ... (sample),-73.199815,41.195943,1237,Dunkin Donuts Bridgeport CT ... (sample)
Dunkin Donuts Bridgeport CT ... (sample),-73.184648,41.200982,1238,Dunkin Donuts Bridgeport CT ... (sample)
Dunkin Donuts Bridgeport CT ... (sample),-73.189021,41.177727,1239,Dunkin Donuts Bridgeport CT ... (sample)
Dunkin Donuts Bridgeport CT ... (sample),-73.223127,41.160968,1240,Dunkin Donuts Bridgeport CT ... (sample)
Dunkin Donuts Bridgeport CT ... (sample),-73.191622,41.173931,1241,Dunkin Donuts Bridgeport CT ... (sample)
Dunkin Donuts Bridgeport CT ... (sample),-73.154399,41.192488,1242,Dunkin Donuts Bridgeport CT ... (sample)
Dunkin Donuts Bridgeton N... (sample),-75.23339,39.425711,1243,Dunkin Donuts Bridgeton N... (sample)
Dunkin Donuts Bridgewate... (sample),-74.574153,40.569286,1244,Dunkin Donuts Bridgewate... (sample)
Dunkin Donuts Briell... (sample),-74.08159,40.099428,1245,Dunkin Donuts Briell... (sample)
Dunkin Donuts Brigantin... (sample),-74.397717,39.393542,1246,Dunkin Donuts Brigantin... (sample)
Dunkin Donuts Bristol P... (sample),-74.861095,40.110006,1247,Dunkin Donuts Bristol P... (sample)
Dunkin Donuts Bristol PA ... (sample),-74.853878,40.111413,1248,Dunkin Donuts Bristol PA ... (sample)
Dunkin Donuts Bron... (sample),-73.856117,40.871112,1249,Dunkin Donuts Bron... (sample)
Dunkin Donuts Bronx N... (sample),-73.904406,40.906891,1250,Dunkin Donuts Bronx N... (sample)
Dunkin Donuts Bronx NY ... (sample),-73.877191,40.895488,1251,Dunkin Donuts Bronx NY ... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.860963,40.834917,1252,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.83181,40.84623,1253,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.867711,40.854807,1254,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.834059,40.864062,1255,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.821933,40.82641,1256,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.854701,40.898073,1257,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.897385,40.867486,1258,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.827206,40.874411,1259,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY 1... (sample),-73.867131,40.865425,1260,Dunkin Donuts Bronx NY 1... (sample)
